date,temp_2m,dewpoint_2m,surface_pressure,wind_u,wind_v,water_vapour,relative_humidity,wind_speed,precipitation
1990-06-15,14.277557,8.496674,886.35956,-2.6379013,-0.37434006,13.7512045,68.20944,2.66433,0.334
1990-06-16,15.825409,9.099457,885.5106,-1.2313766,-0.46167755,14.672841,64.31265,1.3150797,0.173
1990-06-17,16.521088,8.839539,884.3756,-0.25143814,-0.33864212,13.612744,60.453503,0.42178148,0.01
1990-06-18,16.798798,7.5796204,885.72327,-2.3161812,0.6514609,12.673381,54.52947,2.406054,0.0
1990-06-19,16.129425,7.916931,888.01764,-3.141426,0.3241768,16.244385,58.223713,3.1581082,0.304
1990-06-20,16.325531,11.576691,886.84515,-3.357254,-0.763855,17.308847,73.48921,3.4430552,1.06
1990-06-21,15.800476,8.92981,883.35547,-0.9009018,-1.0641518,12.75972,63.682632,1.3942895,0.0
1990-06-22,16.22647,7.0564575,881.08984,-0.68834305,-1.5657997,12.847606,54.564255,1.7104224,0.0
1990-06-23,17.300385,5.9162903,881.7609,-1.0757942,-0.9809303,13.897667,47.124084,1.45587,0.0
1990-06-24,17.49179,5.1495667,883.9136,-2.6432457,-0.70832443,12.257292,44.14773,2.7365072,0.0
1990-06-25,15.816864,8.8591,884.7972,-3.1431046,-1.0199432,11.846916,63.313103,3.30445,0.0
1990-06-26,14.585846,7.055359,883.3253,-2.8594475,-0.62960815,9.372356,60.61361,2.9279423,0.0
1990-06-27,14.972534,4.3087463,881.97095,-1.7794228,-1.9617729,7.025162,48.882,2.6485653,0.0
1990-06-28,16.608551,6.719879,880.5433,-0.23631287,-0.8803711,13.337517,52.038563,0.91153556,0.0
1990-06-29,17.018951,7.7332764,881.5364,-0.5990486,0.11403656,16.417736,54.339863,0.6098062,0.0
1990-06-30,17.635529,4.6493835,884.04626,-1.3325005,2.1570282,15.696212,42.25075,2.5354147,0.0
1990-07-01,16.55014,3.417389,885.4847,-2.6493797,1.4693604,13.815324,41.507717,3.0295599,0.0
1990-07-02,14.332947,7.3457947,885.743,-4.070286,-0.9918976,12.504511,62.848366,4.1894016,0.0
1990-07-03,13.012054,6.932495,885.2991,-2.6563263,-1.3305855,9.887047,66.57291,2.970947,0.0
1990-07-04,13.837952,6.675934,885.6117,-1.9199638,-0.82279205,7.710519,61.985744,2.0888388,0.0
1990-07-05,14.17923,5.270569,884.27875,-1.8624191,-0.38978195,7.404963,55.019844,1.9027703,0.0
1990-07-06,14.9904175,3.9892273,883.7527,-1.958107,-0.51379776,7.6006165,47.74426,2.024394,0.0
1990-07-07,14.765442,4.5310364,884.0775,-2.2670593,-0.3638878,7.9584236,50.314598,2.2960775,0.0
1990-07-08,15.744507,5.0004883,884.4255,-2.301571,-0.7974167,7.784007,48.821976,2.4357958,0.0
1990-07-09,15.992889,4.056671,883.1353,-1.7455368,-1.5167923,7.471515,44.98572,2.3124788,0.0
1990-07-10,15.710815,6.238495,883.14,-1.6301689,-0.5454254,9.116451,53.30891,1.7189938,0.0
1990-07-11,16.033875,3.448822,884.2483,-1.950489,-0.7794838,9.681104,42.99047,2.1004767,0.0
1990-07-12,16.447174,5.93277,884.6923,-2.3835945,-1.1036491,11.901662,49.80045,2.626702,0.0
